

iteration	best results	gbest
101		23401	2147483647
102		23401	2147483647
103		23401	2147483647
104		23401	2147483647
105		23401	2147483647
106		23401	2147483647
107		23401	2147483647
108		23401	2147483647
109		23401	2147483647
110		23401	2147483647
111		23401	2147483647
112		23401	2147483647
113		23401	2147483647
114		23401	2147483647
115		23401	2147483647
116		23401	2147483647
117		23401	2147483647
118		23401	2147483647
119		23401	2147483647
120		23401	2147483647
121		23401	2147483647
122		23401	2147483647
123		23401	2147483647
124		23401	2147483647
125		23401	2147483647
126		23401	2147483647
127		23401	2147483647
128		23401	2147483647
129		23401	2147483647
130		23401	2147483647
131		23401	2147483647
132		23401	2147483647
133		23401	2147483647
134		23401	2147483647
135		23401	2147483647
136		23401	2147483647
137		23401	2147483647
138		23401	2147483647
139		23401	2147483647
140		23401	2147483647
141		23401	2147483647
142		23401	2147483647
143		23401	2147483647
144		23401	2147483647
145		23401	2147483647
146		23401	2147483647
147		23401	2147483647
148		23401	2147483647
149		23401	2147483647
150		23401	2147483647
151		23401	2147483647
152		23401	2147483647
153		23401	2147483647
154		23401	2147483647
155		23401	2147483647
156		23401	2147483647
157		23401	2147483647
158		23401	2147483647
159		23401	2147483647
160		23401	2147483647
161		23401	2147483647
162		23401	2147483647
163		23401	2147483647
164		23401	2147483647
165		23401	2147483647
166		23401	2147483647
167		23401	2147483647
168		23401	2147483647
169		23401	2147483647
170		23401	2147483647
171		23401	2147483647
172		23401	2147483647
173		23401	2147483647
174		23401	2147483647
175		23401	2147483647
176		23401	2147483647
177		23401	2147483647
178		23401	2147483647
179		23401	2147483647
180		23401	2147483647
181		23401	2147483647
182		23401	2147483647
183		23401	2147483647
184		23401	2147483647
185		23401	2147483647
186		23401	2147483647
187		23401	2147483647
188		23401	2147483647
189		23401	2147483647
190		23401	2147483647
191		23401	2147483647
192		23401	2147483647
193		23401	2147483647
194		23401	2147483647
195		23401	2147483647
196		23401	2147483647
197		23401	2147483647
198		23401	2147483647
199		23401	2147483647
best position:
50, 51, 61, 67, 49, 16, 66, 27, 48, 23, 1, 47, 73, 0, 46, 13, 52, 41, 35, 45, 19, 37, 69, 75, 59, 32, 65, 5, 3, 30, 31, 36, 2, 39, 71, 4, 15, 14, 21, 18, 44, 63, 10, 58, 55, 57, 24, 70, 29, 40, 62, 26, 43, 12, 11, 8, 28, 56, 38, 34, 22, 25, 64, 54, 17, 60, 33, 68, 74, 72, 53, 42, 20, 9, 6, 7, 


iteration	best results	gbest
0		3112	3112
1		3099	3099
2		3010	3010
3		3010	3010
4		3010	3010
5		3010	3010
6		3010	3010
7		3010	3010
8		3010	3010
9		3010	3010
10		3010	3010
11		3010	3010
12		2999	2999
13		2937	2937
14		2937	2937
15		2937	2937
16		2937	2937
17		2937	2937
18		2937	2937
19		2937	2937
20		2937	2937
21		2937	2937
22		2937	2937
23		2937	2937
24		2937	2937
25		2937	2937
26		2937	2937
27		2937	2937
28		2937	2937
29		2937	2937
30		2937	2937
31		2875	2875
32		2875	2875
33		2875	2875
34		2875	2875
35		2875	2875
36		2875	2875
37		2875	2875
38		2875	2875
39		2875	2875
40		2875	2875
41		2875	2875
42		2875	2875
43		2875	2875
